date,temp,sw_in,rel_hum,hs
2023-02-14 14:00:00,274.8,560.5,17.6666666666667,633.5
2023-02-14 15:00:00,275.7,485.5,17.5,626.833333333333
2023-02-14 16:00:00,275.066666666667,266.5,19.5,603.333333333333
2023-02-14 17:00:00,271.083333333333,167.0,25.3333333333333,620.166666666667
2023-02-14 18:00:00,268.583333333333,6.16666666666667,28.1666666666667,662.0
2023-02-14 19:00:00,268.4,0.0,27.0,667.166666666667
2023-02-14 20:00:00,268.366666666667,0.0,26.5,673.333333333333
2023-02-14 21:00:00,268.583333333333,0.0,27.3333333333333,674.166666666667
2023-02-14 22:00:00,268.783333333333,0.0,27.1666666666667,676.333333333333
2023-02-14 23:00:00,268.733333333333,0.0,25.6666666666667,673.0
2023-02-15 00:00:00,268.633333333333,0.0,22.6666666666667,673.333333333333
2023-02-15 01:00:00,269.816666666667,0.0,17.0,670.0
2023-02-15 02:00:00,271.0,0.0,13.5,666.666666666667
2023-02-15 03:00:00,271.666666666667,0.0,12.1666666666667,672.0
2023-02-15 04:00:00,270.666666666667,0.0,16.1666666666667,664.0
2023-02-15 05:00:00,271.466666666667,0.0,18.1666666666667,667.666666666667
2023-02-15 06:00:00,270.516666666667,0.0,19.5,668.333333333333
2023-02-15 07:00:00,271.783333333333,0.0,17.5,670.0
2023-02-15 08:00:00,272.333333333333,19.3333333333333,16.1666666666667,669.166666666667
2023-02-15 09:00:00,273.1,152.0,14.8333333333333,660.833333333333
2023-02-15 10:00:00,273.583333333333,310.333333333333,15.1666666666667,649.833333333333
2023-02-15 11:00:00,274.85,447.333333333333,14.8333333333333,643.833333333333
2023-02-15 12:00:00,278.033333333333,544.333333333333,17.6666666666667,613.666666666667
2023-02-15 13:00:00,278.516666666667,585.833333333333,18.0,566.5
2023-02-15 14:00:00,276.916666666667,564.666666666667,22.6666666666667,587.5
2023-02-15 15:00:00,275.75,487.0,21.8333333333333,603.166666666667
2023-02-15 16:00:00,274.85,265.166666666667,23.3333333333333,625.833333333333
2023-02-15 17:00:00,272.8,170.166666666667,30.5,625.5
2023-02-15 18:00:00,271.716666666667,6.33333333333333,26.1666666666667,654.5
2023-02-15 19:00:00,271.966666666667,0.0,19.6666666666667,668.5
2023-02-15 20:00:00,271.55,0.0,20.1666666666667,662.0
2023-02-15 21:00:00,271.85,0.0,18.3333333333333,666.0
2023-02-15 22:00:00,271.566666666667,0.0,19.3333333333333,670.333333333334
2023-02-15 23:00:00,271.266666666667,0.0,21.8333333333333,667.166666666667
2023-02-16 00:00:00,269.683333333333,0.0,27.3333333333333,663.833333333334
2023-02-16 01:00:00,269.6,0.0,27.0,656.0
2023-02-16 02:00:00,270.8,0.0,21.3333333333333,658.5
2023-02-16 03:00:00,271.266666666667,0.0,17.6666666666667,657.166666666667
2023-02-16 04:00:00,271.15,0.0,18.0,656.5
2023-02-16 05:00:00,270.95,0.0,18.1666666666667,649.166666666667
2023-02-16 06:00:00,270.8,0.0,18.0,648.666666666667
2023-02-16 07:00:00,270.75,0.0,19.0,645.166666666667
2023-02-16 08:00:00,270.583333333333,6.5,21.3333333333333,641.666666666667
2023-02-16 09:00:00,270.233333333333,91.3333333333333,22.5,641.666666666667
2023-02-16 10:00:00,270.933333333333,243.333333333333,22.6666666666667,637.166666666667
2023-02-16 11:00:00,271.433333333333,376.333333333333,24.0,633.333333333333
2023-02-16 12:00:00,272.0,532.333333333333,25.3333333333333,621.666666666667
2023-02-16 13:00:00,272.366666666667,583.166666666667,24.5,612.833333333333
2023-02-16 14:00:00,272.7,561.166666666667,26.1666666666667,605.333333333333
2023-02-16 15:00:00,272.233333333333,484.166666666667,29.0,597.0
2023-02-16 16:00:00,271.5,267.166666666667,30.5,586.5
2023-02-16 17:00:00,270.183333333333,167.5,33.3333333333333,609.833333333333
2023-02-16 18:00:00,268.466666666667,7.33333333333333,40.0,638.833333333334
2023-02-16 19:00:00,267.433333333333,0.0,43.8333333333333,646.333333333333
2023-02-16 20:00:00,267.116666666667,0.0,40.6666666666667,647.166666666667
2023-02-16 21:00:00,267.266666666667,0.0,31.0,647.833333333333
2023-02-16 22:00:00,266.783333333333,0.0,39.1666666666667,641.666666666667
2023-02-16 23:00:00,266.533333333333,0.0,44.5,645.0
2023-02-17 00:00:00,266.116666666667,0.0,50.0,660.166666666667
2023-02-17 01:00:00,266.333333333333,0.0,56.6666666666667,652.666666666667
2023-02-17 02:00:00,266.483333333333,0.0,62.1666666666667,652.333333333333
2023-02-17 03:00:00,266.416666666667,0.0,62.5,642.166666666667
2023-02-17 04:00:00,266.483333333333,0.0,65.8333333333333,632.666666666667
2023-02-17 05:00:00,266.45,0.0,69.8333333333333,632.166666666667
2023-02-17 06:00:00,266.316666666667,0.0,73.3333333333333,643.0
2023-02-17 07:00:00,266.466666666667,0.0,82.6666666666667,651.333333333334
2023-02-17 08:00:00,266.95,9.0,84.3333333333333,651.833333333333
2023-02-17 09:00:00,267.5,58.8333333333333,82.3333333333333,648.833333333333
2023-02-17 10:00:00,267.95,119.5,76.8333333333333,644.5
2023-02-17 11:00:00,269.0,351.5,73.5,639.166666666667
2023-02-17 12:00:00,269.066666666667,283.166666666667,80.6666666666667,626.833333333333
2023-02-17 13:00:00,269.1,301.5,79.5,624.5
2023-02-17 14:00:00,269.533333333333,400.833333333333,75.8333333333333,628.333333333333
2023-02-17 15:00:00,270.15,449.166666666667,74.1666666666667,628.0
2023-02-17 16:00:00,269.7,206.0,78.0,620.666666666667
2023-02-17 17:00:00,269.516666666667,60.8333333333333,83.0,625.333333333333
2023-02-17 18:00:00,269.533333333333,9.66666666666667,84.0,627.833333333333
2023-02-17 19:00:00,269.433333333333,0.0,85.0,627.166666666667
2023-02-17 20:00:00,269.333333333333,0.0,85.6666666666667,631.333333333333
